FILE_NAME=Trajectory_L4ToStow.csv,T=0.54,dt=0.001,h0=0.7,hf=0.0,theta0_deg=-235.0,thetaf_deg=-93.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.3,penalty_strength=100000000.0
time,height,angle_deg,dh,dtheta_rad_s
0.000000000000000000e+00,6.999999999999999556e-01,-2.350000000000000000e+02,1.106673378469707831e-36,-6.981793524718793489e-39
1.000000000000000021e-03,6.999999999999999556e-01,-2.350000000000000000e+02,2.260912388634498185e-03,7.883013637338899537e-02
2.000000000000000042e-03,7.000022609123885964e-01,-2.349954833658873667e+02,4.474512912762446289e-03,1.572954646623446751e-01
3.000000000000000062e-03,7.000067354253013407e-01,-2.349864709996256522e+02,6.640801793743896994e-03,2.353959927133999208e-01
4.000000000000000083e-03,7.000133762270951410e-01,-2.349729838027288622e+02,8.759779248207737873e-03,3.131317283366075177e-01
5.000000000000000104e-03,7.000221360063433318e-01,-2.349550426762635595e+02,1.083144548805171567e-02,3.905026793055410561e-01
6.000000000000000125e-03,7.000329674518313006e-01,-2.349326685208507968e+02,1.285580072044245452e-02,4.675088533572955840e-01
7.000000000000000146e-03,7.000458232525517133e-01,-2.349058822366684183e+02,1.483284514781547589e-02,5.441502581924885229e-01
8.000000000000000167e-03,7.000606560976995185e-01,-2.348747047234530498e+02,1.676257896787522461e-02,6.204269014752603617e-01
9.000000000000001055e-03,7.000774186766673957e-01,-2.348391568805021734e+02,1.864500237359507928e-02,6.963387908332754339e-01
1.000000000000000021e-02,7.000960636790409808e-01,-2.347992596066761450e+02,2.048011555321738522e-02,7.718859338577225282e-01
1.099999999999999936e-02,7.001165437945942038e-01,-2.347550338004006107e+02,2.226791869025345622e-02,8.470683381033161652e-01
1.200000000000000025e-02,7.001388117132844036e-01,-2.347065003596681265e+02,2.400841196348360920e-02,9.218860110882967085e-01
1.300000000000000114e-02,7.001628201252478867e-01,-2.346536801820406595e+02,2.570159554695716428e-02,9.963389602944313639e-01
1.400000000000000029e-02,7.001885217207948209e-01,-2.345965941646512931e+02,2.734746960999248980e-02,1.070427193167015290e+00
1.499999999999999944e-02,7.002158691904047938e-01,-2.345352632042068137e+02,2.894603431717698849e-02,1.144150717114871485e+00
1.600000000000000033e-02,7.002448152247220392e-01,-2.344697081969892452e+02,3.049728982836713218e-02,1.217509539510352345e+00
1.700000000000000122e-02,7.002753125145504409e-01,-2.343999500388583783e+02,3.200123629868847214e-02,1.290503667689340439e+00
1.800000000000000211e-02,7.003073137508490920e-01,-2.343260096252536471e+02,3.345787387853564609e-02,1.363133108951248396e+00
1.899999999999999953e-02,7.003407716247276316e-01,-2.342479078511962030e+02,3.486720271357242329e-02,1.435397870559020239e+00
2.000000000000000042e-02,7.003756388274412492e-01,-2.341656656112910753e+02,3.622922294473168020e-02,1.507297959739132276e+00
2.100000000000000130e-02,7.004118680503860217e-01,-2.340793037997293595e+02,3.754393470821544565e-02,1.578833383681593316e+00
2.199999999999999872e-02,7.004494119850942502e-01,-2.339888433102900649e+02,3.881133813549489386e-02,1.650004149539945786e+00
2.299999999999999961e-02,7.004882233232297972e-01,-2.338943050363423595e+02,4.003143335331036529e-02,1.720810264431266168e+00
2.400000000000000050e-02,7.005282547565830908e-01,-2.337957098708477019e+02,4.120422048367138740e-02,1.791251735436166115e+00
2.500000000000000139e-02,7.005694589770667946e-01,-2.336930787063617174e+02,4.232969964385666084e-02,1.861328569598792892e+00
2.600000000000000228e-02,7.006117886767107006e-01,-2.335864324350365280e+02,4.340787094641411492e-02,1.931040773926829379e+00
