FILE_NAME=Trajectory_StowToL4.csv,T=0.4,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
0.000000000000000000e+00,0.000000000000000000e+00,-9.300000000000000000e+01,2.721136806819688335e-39,-9.435571762467852623e-40
1.000000000000000021e-03,1.201753563004963120e-41,-9.300000000000000000e+01,1.210910370918012874e-01,-3.305772881948936849e-03
2.000000000000000042e-03,1.210910370918012930e-04,-9.300018940683416702e+01,2.400415258816341602e-01,-6.043116821282021843e-03
3.000000000000000062e-03,3.611325629734354588e-04,-9.300053565192312988e+01,3.568514855639774996e-01,-8.321233231004171449e-03
4.000000000000000083e-03,7.179840485374129827e-04,-9.300101242346761410e+01,4.715209416434059109e-01,-1.023033867153319738e-02
5.000000000000000104e-03,1.189504990180818931e-03,-9.300159857869647340e+01,5.840499264436868065e-01,-1.184506567924618198e-02
6.000000000000000125e-03,1.773554916624505784e-03,-9.300227725096794984e+01,6.944384791119406763e-01,-1.322731716411615355e-02
7.000000000000000146e-03,2.467993395736446573e-03,-9.300303512041573128e+01,8.026866453691020586e-01,-1.442866032694233892e-02
8.000000000000000167e-03,3.270680041105548420e-03,-9.300386182175648742e+01,9.087944771634330898e-01,-1.549233510672865140e-02
9.000000000000001055e-03,4.179474518268981413e-03,-9.300474946717291402e+01,1.012762032323202499e+00,-1.645494218995595045e-02
1.000000000000000021e-02,5.192236550592184072e-03,-9.300569226591252914e+01,1.114589374266534039e+00,-1.734786664822106014e-02
1.099999999999999936e-02,6.306825924858717666e-03,-9.300668622545502728e+01,1.214276571803262206e+00,-1.819848531451148319e-02
1.200000000000000025e-02,7.521102496661980635e-03,-9.300772892185709395e+01,1.311823699050354675e+00,-1.903119901709078576e-02
1.300000000000000114e-02,8.832926195712334852e-03,-9.300881932923985573e+01,1.407230835475789199e+00,-1.986832469313256147e-02
